ID,Mean,Condition,Time,Max,Velocity (bpm/s)
5,[48.20736927],Dynamisk 13,96.5,113.21568627450976,1.1732195468861115
5,[49.66197838],Statisk 14,89.0,116.3529411764706,1.3073364177131528
5,[52.48113166],Stilhed 15,91.5,108.58823529411765,1.1867566698810672
8,[73.23632843],Dynamisk 22,74.5,123.01960784313727,1.6512699039347285
8,[72.84321888],Stilhed 23,105.5,126.60784313725489,1.2000743425332216
8,[78.48731918],Statisk 24,124.25,123.17647058823528,0.9913599242513905
9,[73.0785228],Dynamisk  25,66.5,114.9607843137255,1.728733598702639
9,[79.08685435],Statisk 26,54.5,116.33333333333333,2.1345565749235473
9,[80.44334671],Stilhed 27,72.25,110.58823529411765,1.5306330144514555
11,[95.21288158],Dynamisk 31,127.25,131.54901960784312,1.033784044069494
11,[99.47332767],Stilhed 32,51.25,130.49019607843135,2.5461501673840266
11,[100.40102239],Statisk 33,90.75,132.80392156862743,1.463404094420137
12,[71.92063381],Stilhed 34,95.75,122.09803921568627,1.2751753442891516
12,[73.86445358],Statisk 35,62.0,127.1764705882353,2.0512333965844403
12,[78.49597313],Dynamisk 36,48.75,124.98039215686276,2.5637003519356463
13,[50.56840878],Statisk 37,304.75,109.35294117647058,0.35882835496791005
13,[74.10290946],Stilhed 38,66.25,104.82352941176471,1.5822419533851277
13,[76.55115423],Dynamisk 39,51.25,106.72549019607843,2.0824485891917743
14,[72.44046432],Statisk 40,66.0,129.19607843137257,1.9575163398692814
14,[74.506667],Dynamisk 41,54.25,129.7843137254902,2.3923375801933675
14,[72.17789991],Stilhed 42,53.25,128.05882352941177,2.4048605357636013
